,adversary,target,technique,publish date,motive,interesting_insight
32,Iranian hacktivists,state-run television broadcast of a speech by Iranian president Ebrahim Raisi,disruption,February 2023,encouraged citizens to join antigovernment protests,Hackers aired the slogan 'Death to Khamenei'
33,An Iranian hacking group,organizations in the Middle East,backdoor malware,February 2023,espionage campaign,the hacking group is linked to Iranian intelligence services
34,Iranian hacktivists,websites for the Bahrain international airport and state news agency,taking down websites,February 2023,Unknown,Unknown
35,Iranian state-sponsored hackers,"Technion University, Israel’s top technology education program",ransomware attack,February 2023,Hackers demanded 80 bitcoin ($1.7 million USD) to decrypt the university’s files,Israeli cybersecurity officials blamed Iranian state-sponsored hackers for the attack
36,Unknown,Italy’s Revenue Agency (Agenzia delle Entrane) website,Phishing,February 2023,Unknown,"While the website was disabled, users received phishing emails directing them to a false login page that mirrored the official agency site."
37,Chinese cyberespionage hackers,government and public sector organizations in Asia and Europe,spear-phishing campaign,February 2023,cyberespionage,The emails used a draft EU Commission letter as its initial attack vector. These campaigns have occurred since at least 2019.
38,Russia-linked hackers,Latvian Ministry of Defense,cyber espionage phishing campaign,January 2023,espionage,The operation was unsuccessful
39,Unknown,Federal civilian executive branch,Utilizing remote access software,October 2022,Financially motivated,Phishing campaign against multiple U.S. federal civilian executive branch agencies
40,Russia-linked hackers,"UK postal service, the Royal Mail",ransomware attack,January 2023,disrupted the systems used to track international mail,
41,Iran-linked hackers,U.S. public infrastructure and private Australian organizations,ransomware attacks and data exfiltration,January 2023,extortion campaigns,Australian authorities claim that the data exfiltrated was for use in extortion campaigns
42,Unknown,Costa Rica’s Ministry of Public Works,Ransomware,January 2023,Unknown,The attack knocked all its servers offline
43,Iran-linked hackers,Albanian government servers,cyber-attacks,January 2023,Unknown,The servers were still near-daily targets following a major attack in 2022
44,Unknown,Malaysian national defense networks,Unknown,January 2023,Unknown,Malaysian officials detected the hacking activities early enough to prevent any network compromise
45,Unknown,"Government, military, and civilian networks across the Asia Pacific",Malware,January 2023,Obtain confidential information,The malware targeted both the data on victim machines as well as audio captured by infected machines’ microphones
46,Unknown,Moldovan government accounts,Emails containing malicious links,January 2023,Unknown,Over a thousand emails were sent
47,China-linked hackers,"government, education, and research sector victims across the Asia Pacific",phishing attacks,December 2022,espionage,These attacks contained malware designed for espionage
48,Unknown,Ukranian government agencies and state railway systems,Email phishing attacks,December 2022,Espionage,The emails included information on kamikaze drone identification and deployed malware designed for espionage onto victim machines
49,Unknown,"FBI threat information sharing program, InfraGard",Unknown,December 2022,To sell the obtained information,"The hackers obtained contact information for more than 80,000 members and posted it for sale on a cybercrime forum"
50,Sandworm,Ukranian critical infrastructure,Unknown,December 2022,Unknown,These attacks were accompanied by pro-Russian propaganda
51,Iran-linked hackers,"human rights activists, journalists, diplomats, and politicians located across the Middle East","cyber espionage, social engineering, and phishing",December 2022,espionage,"The Human Rights Watch reported an ongoing, well-resourced campaign"
52,Unknown,Italy’s Ministry of Agriculture website,DDoS attack,December 2022,Demonstrative,No data was breached and no lasting damage is expected
53,Russia-linked hackers,"healthcare organizations, businesses, and critical infrastructures across the U.S., UK, France, and other countries",leveraged the networks,December 2022,information stealing and disruption,The attacks were primarily targeted at Ukraine
54,Iran-linked hackers,government ministries in Saudi Arabia,obtained and leaked data,December 2022,,
55,Russia-linked hackers,Vatican City servers,DDoS attack,December 2022,Russian government officials criticized Pope Francis for his comments about the war in Ukraine,The attack knocked the official Vatican City website offline
56,Unknown,Danish defense ministry,DDoS attack,December 2022,Disrupt access to its websites,Unknown
57,"external intelligence agencies, IT companies, and hacktivists",Russia’s foreign minister,coordinated cyber aggression,December 2022,Unknown,"According to Russian officials, such attacks have “doubled or tripled” over the past year"
58,Chinese government-linked hackers,U.S. government,Unknown,December 2022,steal COVID-19 relief funds,The U.S. Secret Service announced they retrieved half of the stolen funds thus far
59,Chinese-linked hackers,Amnesty International of Canada,Unknown,December 2022,Espionage operation,Unknown
60,Unknown,U.S. government employees,Spyware hacks,December 2022,Unknown,"A U.S. lawmaker predicted the number of hacks could be in the hundreds, including diplomats in multiple countries."
61,Unknown,Indian hospital,Cutting off access to online networks and patient records,November 2022,Disruption of operations,It took hospital officials and federal authorities nearly two weeks to regain access to hospital servers and recover lost data
62,Russian GRU hacking group,energy sector and logistics industries in Ukraine and Poland,cyberattacks,November 2022,Unknown,The campaign began in late September 2022
63,Unknown,Bahraini government websites,DDoS attacks,November 2022,Prior the country’s parliamentary and local elections,Unknown
64,Iranian government-sponsored hackers,U.S. Merit Systems,,November 2022,,
65,Unknown,Protection Board,log4shell vulnerability,February 2022,To install cryptocurrency-mining software and obtain sensitive data,The hackers deployed malware after breaching the network
66,Unknown,Danish State Railways’ network,Targeting an IT subcontractor's software testing environment,November 2022,Unknown,The attack shut down train operations for several hours
67,An Indian-based hacking group,"Pakistani politicians, generals and diplomats",deploying malware that enables the attacker access to computer cameras and microphones,November 2022,,
68,State-sponsored hackers with possible ties to the Chinese government,Multiple Asian countries,Compromising a digital certificate authority,March 2022 - November 2022,Espionage operation,The hackers targeted a digital certificate authority in one country
69,Unknown,Vanuatu government,Ransomware attack,November 2022,Unknown,"The attack affected all government services, disabling emails, websites, and government systems, with only partial access restored a month later."
70,Unknown,Guadeloupe government,Unknown,November 2022,Unknown,The attack forced the shutdown of all government computers to protect data during incident response and detect the scope of the attack.
71,Indian hackers,"Pakistani government entities, including the military, and companies",The attacks enabled hackers to infiltrate systems and access computer controls,November 2022,Unknown,The attacks have been ongoing since April 2020
72,Suspected Chinese-linked hackers,"public and private organizations in the Philippines, Europe, and the United States",infected USB drives to deliver malware,November 2022,espionage campaign,The attacks have been ongoing since 2021
73,Chinese state-affiliated actors,smaller nations in Southeast Asia,cyberespionage,November 2022,espionage,Chinese state-affiliated actors increased attacks on smaller nations
74,Unknown,A communications platform in Australia handling Department of Defence data,Ransomware attack,October 2022,Breach sensitive government data,The government believes hackers breached sensitive government data in this attack
75,anti-Putin group in Russia,Russian defense contractors,hacking,October 2022,political opposition to Putin,The hacked data was published in a Ukrainian newspaper
76,A pro-Russian hacking group,"Bulgarian websites belonging to the presidential administration, the Defense Ministry, the Interior Ministry, the Justice Ministry, and the Constitutional Court",DDoS attack,October 2022,punishment “for betrayal to Russia and the supply of weapons to Ukraine”,
77,A pro-Russian hacking group,several major U.S. airports,DDoS attack,October 2022,Unknown,The attack impacted the airports' websites
78,Pro-Russian hackers,"U.S. state government websites (Colorado, Kentucky, Mississippi)",Unknown,October 2022,Unknown,The attack knocked the websites offline
79,state-sponsored hacking groups,a defense company,long-term access,October 2022,compromised sensitive company data,The hacking groups had access since January 2021
80,Iranian hackers,Albanian computer systems,Ransomware,September 2022,"Albania’s decision to sever diplomatic ties with Iran, American sanctions and NATO’s condemnation of an Iranian cyberattack","The attack forced Albanian officials to temporarily shut down the Total Information Management System, a service used to track individuals entering and exiting Albania"
81,A newly discovered hacking group,"telecommunications, internet service providers, and universities in the Middle East and Africa","deploys malware platforms directly into systems’ memory, bypassing native security solutions",September 2022,,
82,Unknown,Montenegro’s government networks,Unknown,September 2022,Unknown,Montenegrin officials blamed Russia for the attack
83,Unknown,state-level parliamentary website of Bosnia and Herzegovina,Unknown,September 2022,Unknown,The attack rendered the sites and servers inaccessible for multiple weeks
84,U.S. National Security Agency (NSA),China’s Northwestern Polytechnical University,stole user data and infiltrated digital communications networks,September 2022,Unknown,China accused the NSA of numerous cyberattacks
85,Anonymous,Iranian government,cyberattacks,September 2022,Unknown,The attack took down two main Iranian government websites and the websites of several state media organizations
86,Unknown,Mexican Defense Ministry,Unknown,September 2022,Unknown,"The hackers accessed six terabytes of data, including internal communications, criminal data, and data that revealed Mexico’s monitoring of Ken Salazar, the U.S. Ambassador to Mexico. Mexican President Andres Manuel Lopez Obrador confirmed the authenticity of the data, including personal health data released to the public."
87,A Russian-based hacking group,the website of the United Kingdom’s intelligence agency MI5,a DDoS attack,September 2022,temporarily took the site offline,
88,Unknown,Gestore dei Servizi Energetici (GSE),Unknown,August 2022,Unknown,Unknown
89,foreign hackers,website of Taiwan’s presidential office,DDoS attack,August 2022,not specified,normal operations of the website resumed after 20 minutes
90,hackers,Taiwan’s Foreign Ministry website and the main portal website for Taiwan’s government,not specified,August 2022,not specified,not specified
91,A Russian group,the Finnish Parliament,DDoS attack,August 2022,Unknown,The attack rendered the Parliamentary website inaccessible
92,Russian hackers,website of Ukraine’s state energy agency,Unknown,August 2022,Unknown,The agency is responsible for the oversight of Ukraine’s nuclear power plants
93,A Russian hacking group,the website of the Latvian Parliament,DDoS attack,August 2022,Unknown,The attack temporarily paralyzed the website’s server
94,Unknown,Greece’s largest natural gas distributor DESFA,Unknown,August 2022,Unknown,The attack caused a system outage and data exposure
95,A Russian group,South Staffordshire Water,breaching and leaking files,August 2022,extortion attempt,The target was a privately owned UK water supply company
96,Unknown,Montenegro’s government institutions,Unknown,August 2022,Unknown,There was sufficient evidence to suspect Russia was behind the attack
97,Unknown,websites of both government and private Estonian institutions,DDoS campaign,August 2022,Unknown,"Estonia stated that the attack was largely repelled, and the impact was limited."
98,Chinese hacking group,government institutions and defense firms throughout Eastern Europe,phishing emails to deploy malware,January 2022,Unknown,A report by Russian-based company Kaspersky linked the campaign to a Chinese hacking group
99,Indian-linked hackers,Pakistan Air Force (PAF),spearfishing campaign,July 2022,to deploy malware and obtain sensitive files,Pakistani and Chinese organizations claimed the attack
100,Unknown,Iran’s Islamic Culture and Communication Organization (ICCO),Unknown,July 2022,Unknown,"The attack took down at least 6 websites, placed images of Iranian resistance leaders on fifteen additional sites, wiped databases and computers, and allowed hackers to obtain access to sensitive ICCO data."
101,Unknown,Shanghai police,Unknown,July 2022,Unknown,The hacker claimed to acquire records on 1 billion Chinese
102,Unknown,Database,Unknown,Unknown,Financial gain,The hacked data was posted for sale online
103,China,Belgium’s Ministries of Interior and Defense,cyberespionage,July 2022,Unknown,A spokesperson for the Chinese Embassy in Belgium denied the accusations
104,Unknown,Social media accounts owned by the British Royal Army,Account takeover,July 2022,Unknown,The attack included the takeover of the British Army’s Twitter and YouTube accounts
105,Killnet,Lithuania’s state-owned energy provider,DDoS attack,July 2022,Unknown,Lithuanian officials link Killnet to Russia
106,Unknown,"Websites belonging to the Albanian Prime Minister's Office, the Parliament, and the e-Albania portal",Unknown,July 2022,Unknown,The e-Albania portal is used to access public services
107,Unknown,Ukrainian media company,Breach,July 2022,To broadcast false information about Ukrainian President Volodymyr Zelenskyy,President Zelenskyy blamed Russia for the attack
108,National Security Agency (NSA)'s Office of Tailored Access Operations (TAO),China,Stealing global internet data and telephone data,June 2022,Unknown,United States stole 97 billion pieces of global internet data and 124 billion pieces of telephone data
109,A Russian-backed hacking group,"Lithuania’s state railway, airports, media companies, and government ministries",DDoS attacks,June 2022,Unknown,Unknown
110,Chinese state-sponsored hackers,major telecommunications companies and network service providers,Unknown,June 2022,Unknown,The attack has been ongoing since at least 2020
111,Iranian-linked actors,"former Israeli officials, military personnel, and a former U.S. Ambassador to Israel",phishing campaign,June 2022,"to gain access to the targets’ inboxes, personally identifiable information, and identity documents",An Israeli cybersecurity firm discovered the attack
112,Unknown,Three Iranian steel companies,Unknown,June 2022,Unknown,The attack forced the country’s state-owned plant to halt production
113,Unknown,Chinese government,Leaking files and photos,June 2022,Displaying human rights abuses committed by the Chinese government against the Uyghur population,The leaked files and photos are known as 'The Xinjiang Police Files'
114,Unknown,"Users of Australia’s largest Chinese-language platform, Media Today",Password reset attempts,June 2022,Unknown,The hackers made over 20 million attempts to reset user passwords in the platform’s registration system
115,Unknown,municipal public address systems in Jerusalem and Eliat,Unknown,June 2022,Unknown,Unknown
116,Iran,air raid sirens systems throughout both cities,Unknown,Unknown,Unknown,An Israeli industrial cybersecurity firm attributed the attack to Iran
117,Chinese-linked disinformation campaign,Australian mining company,spreading disinformation on social media platforms and websites,June 2022,discredit the company’s alleged environmental record,
118,Unknown,"U.S. organizations in military, software, supply chain, healthcare, and pharmaceutical sectors",Phishing campaign,June 2022,Compromise Microsoft Office 365 and Outlook accounts,Unknown
119,Unknown,Officials in Germany’s Greens party,Compromising accounts,June 2022,Unknown,"The compromised accounts included ones used previously by Annalena Baerbock and Robert Habeck, who now serve as Minister for Foreign Affairs and Minister for Economic Affairs and Climate Action."
120,pro-Russian hackers,Norwegian public institutions,DDoS attacks,June 2022,disrupting government websites,The Norwegian NSM security authority attributed the attack to pro-Russian hackers
121,A group linked to Iran,Port of London Authority,DDoS attack,May 2022,Unknown,The attack forced the Port of London Authority's website to go offline
122,Iranian cyber espionage actor,Jordan Ministry of Foreign Affairs,phishing campaign,May 2022,espionage,
123,Unknown,Grand Ethiopian Renaissance Dam (GERD),Unknown,May 2022,Unknown,Ethiopia’s communications security agency thwarted the attacks before hackers could gain access to the networks.
124,Unknown,Greenland’s healthcare system,Unknown,May 2022,Unknown,"The attack did not damage or expose citizens’ data, but it made health services severely limited."
125,A Chinese hacking group,U.S and European companies,Unknown,May 2022,steal intellectual property assets,The group went largely undetected since 2019 and is believed to be backed by the Chinese government
126,State-sponsored hackers,RuTube,Unknown,May 2022,Unknown,RuTube is the Russian version of YouTube
127,Russian hackers,"Italian websites including the Senate, the Ministry of Defence, and the National Health Institute",DDoS attack,May 2022,to target NATO countries and Ukraine,
128,Unknown,"Ministry of Defense, Border Police, National Railway Company, OTP Bank",DDoS attacks,April 2022,Unknown,Multiple public and private sector websites were targeted
129,Unknown,Websites in Romania,Unknown,Unknown,Romania's support for Ukraine during the Russian invasion,The hacker group communicated their actions and motives via Telegram
130,Russian-linked hackers,"diplomats and embassy officials from France, Poland, Portugal, and other countries",phishing email to deliver a malware-laden file,April 2022,Unknown,The campaign started in January
131,Unknown,More than 100 public sector agencies in Iran,Cyber intrusions,April 2022,Unknown,The Iranian government claimed to have foiled the cyber intrusions
132,Russian hackers,Costa Rican Ministry of Finance,cyberattack,April 2022,asked for $20 million in ransom or plans to leak the stolen data,"The attack crippled tax collection and export systems, leading to a national emergency declaration by the newly elected President of Costa Rica"
133,NSO Group,members of the European Commission,spyware,April 2022,Unknown,An Apple notification from November to thousands of iPhone users stating they were targeted by state-sponsored actor alerted the Commission of this spyware use.
134,North Korea-linked hacking campaign,chemical companies in South Korea,phishing emails sent from fake job recruiters,April 2022,,
135,NSO Group,65 Catalonian activists and political figures,spyware,April 2022,Unknown,The attack was discovered through a Citizen Lab study
136,North Korean hacking group,Ronin Network,Unknown,April 2022,Stealing Ethereum and USDC,The U.S. Treasury Department’s Office of Foreign Assets Control announced sanctions against the hackers
137,Unknown,websites belonging to the Finnish Ministries of Defence and Foreign Affairs,DDoS attacks,April 2022,Unknown,The attack’s botnet used over 350 IP addresses from around the world and the denial of service was sustained for four hours
138,Unknown,Telegram accounts of Ukrainian government officials,Phishing attack,April 2022,Gain access to the accounts,Unknown
139,PLA-linked hackers,7 Indian State Load Dispatch Centres (SLDCs),Unknown,April 2022,Unknown,The SLDCs manage SCADA systems
140,Iranian-linked cyber espionage campaigns,"activists, academics, and private companies in the energy, semiconductor, and telecom sectors",phishing and other social engineering techniques,April 2022,espionage,"The campaign targeted businesses in countries including the U.S., Israel, Russia, and Canada"
141,A group with connections to the Russian GRU,Ukrainian media organizations,Attempt to gain long-term access to their networks and collect sensitive information,April 2022,Collect sensitive information,The group has connections to the Russian GRU
142,Russian GRU,computer networks around the world,malware,April 2022,"unclear, could be used for anything from surveillance to destructive attacks","The United States removed the malware, a move made public by Attorney General Merrick B. Garland"
143,group with ties to the Russian GRU,Ukrainian energy facility,updated form of the same malware,April 2022,shutdown electrical substations in Ukraine,The attack was largely thwarted by CERT-UA and private sector assistance
144,Unknown,Ukraine’s National Post Office,DDoS attack,April 2022,Unknown,"The attack happened days after the release of a new stamp honoring a Ukrainian border guard, affecting the agency's ability to run their online store."
145,Unknown,National Telecommunications Authority of the Marshall Islands,DDoS attack,March 2022,Unknown,The attack disrupted internet services on the Islands for over a week.
146,Unknown,Satellite broadband service run by Viasat,Hacked satellite modems,March 2022,"Disrupt internet services across Europe, including Ukrainian military communications",The attack disrupted the company’s service and affected thousands of Europeans
147,Unknown,"Websites of multiple Russian agencies including the Energy Ministry, the Federal State Statistics Service, the Federal Penitentiary Service, and the Federal Bailiff Service",Unknown,March 2022,Anti-government and anti-invasion protest,The websites displayed several anti-government and anti-invasion images and messages before the agencies were able to expel the attackers
148,Unknown,Greenland’s parliamentary authority,Unknown,March 2022,Espionage,The attack forced the parliament to cancel meetings and slowed social benefit payments
149,hackers from the United States,Chinese computers,Unknown,March 2022,"carry out attacks on Russia, Ukraine, and Belarus",The National Computer Network Emergency Response Technical Team/Coordination Center of China (CNCERT/CC) stated
150,Chinese government-backed actor,The European Banking Authority,exploiting a vulnerability in Microsoft’s mail server software,March 2022,Unknown,No data was compromised
151,Unknown,"Russian government and state media websites, Emergency Situations Ministry website, Tass news agency","Defacement, Disruption",March 2022,"Encouraging Russian soldiers to defect, Calling for people to protest against the war",The hackers were able to penetrate and disrupt several high-profile Russian websites
152,Unknown,"The National Research Council, Canada",Unknown,March 2022,Unknown,Parts of the Council's online presence were taken offline as a result of the incident
153,Hackers linked to the Chinese government,networks belonging to government agencies of at least 6 different U.S. states,Log4j vulnerability,March 2022,espionage operation,Hackers also exploited several other vulnerable internet-facing web applications
154,Unknown,Major Israeli telecommunication provider,DDoS attack,March 2022,Unknown,Multiple Israeli government websites were taken offline
155,two North Korean government-backed groups,"employees across numerous media, fintech, and software companies",phishing emails advertising fake job opportunities and exploited a vulnerability in Google Chrome,February 2022,to compromise the companies’ websites and spread malware,The hackers used a vulnerability in Google Chrome to spread malware
156,Unknown,"Websites of the Ukrainian Cabinet of Ministers and Ministries of Foreign Affairs, Infrastructure, and Education; networks of one Ukrainian financial institution and two government contractors",Wiper malware,February 2022,Preceding the invasion of Ukraine by Russian troops,The attack disrupted the websites in the days before the invasion
157,U.S. National Security Agency,companies and governments in over 45 countries,engineering a backdoor,February 2022,monitor companies and governments,operations like this may threaten the security of China’s critical infrastructure and compromise trade secrets
158,Russian GRU,websites belonging to the Ukrainian Defense Ministry and two of the country’s largest banks,DDoS attack,February 2022,Not explicitly mentioned,The attack was connected to another “information attack” where Ukrainian citizens received spam text messages claiming that ATMs were not working
159,U.S. National Security Agency,companies and governments in over 45 countries,engineering a back-door,February 2022,monitor companies and governments,operations like this may threaten the security of China’s critical infrastructure and compromise trade secrets
160,A Pakistani group,Indian military and diplomatic targets,"remote access trojan, social engineering, USB- based worms",February 2022,espionage,The group generally uses social engineering and/or USB- based worms to penetrate a network
161,An Iranian-linked group,a range of private companies and local and federal governments,espionage and other malicious cyber operations,February 2022,Unknown,Unknown
162,Russian state-sponsored actors,U.S. defense contractors,Hacking,January 2020 and February 2022,Exfiltration of emails and sensitive data,The attack lasted for over two years
163,a Russian-speaking hacking group,Multiple oil terminals in some of Europe’s biggest ports across Belgium and Germany,ransomware strain,February 2022,disrupt the ability of energy companies to process payments,rendering them unable to process incoming barges
164,cyber arm of Hamas,Palestinian individuals and organizations,malware,October 2021 to February 2022,Unknown,Researchers suggest that the operation could be connected to a broader campaign that started in 2017
165,North Korea hackers,three cryptocurrency exchanges,Unknown,February 2022,to help fund their nuclear program in the face of a significant sanctions regime,North Korea hackers stole more than $50 million between 2020 and mid-2021
166,hackers linked to the Chinese government,email accounts belonging to Wall Street Journal journalists,surveilled and exfiltrated data,February 2022,not specified,The hackers allegedly surveilled and exfiltrated data from the newspaper for over two years beginning in at least February 2020.
167,Unknown,The networks of the U.K. Foreign Office,Unknown,February 2022,Unknown,All details of the incident remain confidential
168,A Chinese hacking group,German pharma and tech firms,hack into the networks of service providers and companies,January 2022,to steal intellectual property,According to the German government
169,Unknown,Internet traffic to and from North Korea,DDoS attacks,January 2022,Unknown,The second attack came just after North Korea’s 5th missile test of the month
170,Unknown,Canadian Foreign Ministry,Unknown,January 2022,Anticipation of Russia-based cyberattacks on critical infrastructure,The hack came a day after the government issued a warning to bolster network security
171,Unknown,Andorra Telecom,DDoS attacks,January 2022,Disrupt a high-stakes Minecraft tournament,The attack disrupted 4G and internet services for customers
172,Unknown,60 parliamentary email accounts of the Greek Parliament,Unknown,January 2022,Unknown,"In response to the hacking attempt, authorities temporarily shut down the mailing system in the legislature."
173,WeChat,Prime Minister Scott,,January 2022,,
174,Unknown,Morrison’s account,Redirecting users to a different website,mid-2021,Provide information for Chinese expatriates,The Government encountered problems posting to the Prime Minister’s account
175,Unknown,International Committee of the Red Cross,Unknown,January 2022,Unknown,The operation may be linked to a sprawling influence operation based in Iran
176,Unknown,Ukrainian government,Malicious software masquerading as ransomware,January 2022,Unknown,The attack hit 90 websites and damaged dozens of computers in government agencies
177,Unknown,"Israeli media outlets, including Maariv and the Jerusalem Post",Posting threatening messages on their websites,January 2022,Unknown,The hackers posted messages in both English and Hebrew
178,DRPK-affiliated group,Russian diplomats,Email disguised as a New Year greetings screensaver,January 2022,Unknown,"The email, after being opened, installed a remote access trojan"
179,Unknown,Belgium Ministry of Defence,Exploiting the Log4j vulnerability,December 2021,Unknown,"The attack forced part of the ministry's computer network, including the mail system, to shut down for several days"
180,Chinese state-sponsored groups,Southeast Asian governments,custom malware,December 2021,territorial disputes in the South China Sea,Many of the nations targeted are currently engaged in disputes with China over territorial claims in the South China Sea
181,Unknown,Prime Minster Modi’s Twitter,Unknown,December 2021,To spread misinformation and conduct a bitcoin scam,The hackers tweeted that India officially adopted bitcoin as legal tender
182,Unknown,Australia’s telecommunications systems,malicious code embedded in a software update,December 2021,Unknown,The intrusion was linked to Huawei
183,"government-linked hackers from China, Iran, and North Korea",computer networks,Log4j vulnerability,December 2021,to gain access to computer networks,"Following the announcement of Log4j, researchers already found over 600,000 attempts to exploit the vulnerability"
184,Chinese hackers,U.S. defense and technology firms,obtained passwords,December 2021,intercept sensitive communications,"The hackers breached four more organizations in December, in addition to one in November"
185,A Russian group,Australian utility company CS energy,ransomware attack,December 2021,Unknown,This announcement came after Australian media outlets blamed
186,A Russian-speaking group,"personal information of around 3,500 individuals, including government officials, journalists, and human rights activists","obtained access to private email accounts and financial details, and operated malware on Android and Windows devices",November 2021,Unknown,Unknown
187,Unknown,U.S. defense contractor,Unknown,November 2021,Unknown,Hackers gained access to the social security and driver’s license numbers of employees
188,foreign intelligence agency,several airlines in China,custom trojan,November 2021,stole passenger information,The officials stated the hacks are connected due to the use of a custom trojan in all the attacks.
189,Chinese hackers,nine companies and 370 servers,exploiting a publicly shared vulnerability,November 2021,Unknown,The attack was carried out after CISA publicly shared details on a vulnerability
190,Unknown,A vendor that handles data for the UK Labour Party,Unknown,November 2021,Unknown,The attack affected the data of the UK Labour Party's members and affiliates
191,Unknown,FBI’s Law Enforcement Enterprise Portal,Unknown,November 2021,Unknown,Hackers sent a warning of a cyberattack in an email claiming to be from the Department of Homeland Security (DHS)
